word,lemma,POS,IC
polvo,polvo,nms,NC_o
trato,trato,nms,NC_o
mapa,mapa,nms,NC_a
poquito,poquito,n,NC_o
música,música,n,NC_a
ministerio,ministerio,nms,NC_o
rumbo,rumbo,nms,NC_o
flujo,flujo,nms,NC_o
mandato,mandato,nms,NC_o
frontera,frontera,nfs,NC_a
extremo,extremo,nms,NC_o
minuto,minuto,nms,NC_o
punta,punta,nfs,NC_a
diputado,diputado,nms,NC_o
tabla,tabla,nfs,NC_a
sacrificio,sacrificio,nms,NC_o
pintura,pintura,nfs,NC_a
protesta,protesta,nfs,NC_a
empresario,empresario,nms,NC_o
habia,habia,n,NC_a
bolsa,bolsa,nms,NC_a
hoja,hoja,nfs,NC_a
magia,magia,nfs,NC_a
mandatario,mandatario,nms,NC_o
alumno,alumno,nms,NC_o
sino,sino,nms,NC_o
panorama,panorama,nms,NC_a
presidenta,presidenta,n,NC_a
escrito,escrito,nms,NC_o
dedo,dedo,nms,NC_o
arquitectura,arquitectura,nfs,NC_a
eficacia,eficacia,nfs,NC_a
mando,mando,nms,NC_o
monto,monto,nms,NC_o
cancha,cancha,nfs,NC_a
brazo,brazo,nms,NC_o
risa,risa,nfs,NC_a
especialista,especialista,nms,NC_a
montaña,montaña,nfs,NC_a
trayectoria,trayectoria,nfs,NC_a
pequeño,pequeño,nms,NC_o
fallo,fallo,nms,NC_o
pelota,pelota,nms,NC_a
laboratorio,laboratorio,nms,NC_o
poema,poema,nms,NC_a
capa,capa,nfs,NC_a
experto,experto,nms,NC_o
trama,trama,nfs,NC_a
imperio,imperio,nms,NC_o
templo,templo,nms,NC_o
directora,directora,n,NC_a
barco,barco,nms,NC_o
rueda,rueda,nfs,NC_a
caballo,caballo,nms,NC_o
promesa,promesa,nfs,NC_a
cuento,cuento,n,NC_o
plato,plato,nms,NC_o
pa,pa,n,NC_a
onda,onda,nfs,NC_a
esquema,esquema,nms,NC_a
episodio,episodio,nms,NC_o
cinta,cinta,nfs,NC_a
núcleo,núcleo,nms,NC_o
frío,frío,nms,NC_o
castigo,castigo,nms,NC_o
robo,robo,nms,NC_o
vacío,vacío,nms,NC_o
fama,fama,nfs,NC_a
rango,rango,nms,NC_o
alianza,alianza,nfs,NC_a
abuela,abuela,n,NC_a
ahorro,ahorro,nms,NC_o
convocatoria,convocatoria,nfs,NC_a
gira,gira,nfs,NC_a
pista,pista,nfs,NC_a
renta,renta,nfs,NC_a
hierro,hierro,nms,NC_o
habla,habla,nfs,NC_a
gesto,gesto,nms,NC_o
locura,locura,nfs,NC_a
gato,gato,nms,NC_o
sustancia,sustancia,nfs,NC_a
testigo,testigo,nms,NC_o
negro,negro,nms,NC_o
calendario,calendario,nms,NC_o
gama,gama,nfs,NC_a
tejido,tejido,nms,NC_o
media,media,nms,NC_a
seno,seno,nms,NC_o
huelga,huelga,nfs,NC_a
fortuna,fortuna,nfs,NC_a
ira,ira,nfs,NC_a
barra,barra,nfs,NC_a
boda,boda,nfs,NC_a
loco,loco,nms,NC_o
miseria,miseria,nfs,NC_a
metro,metro,nms,NC_o
excusa,excusa,nfs,NC_a
saga,saga,nfs,NC_a
guitarra,guitarra,nms,NC_a
salto,salto,nms,NC_o
pedido,pedido,nms,NC_o
tío,tío,nms,NC_o
convenio,convenio,nms,NC_o
milagro,milagro,nms,NC_o
puesta,puesta,nfs,NC_a
ceremonia,ceremonia,nfs,NC_a
mito,mito,nms,NC_o
diablo,diablo,nms,NC_o
propietario,propietario,nms,NC_o
empleado,empleado,nms,NC_o
campeonato,campeonato,nms,NC_o
socio,socio,nms,NC_o
paso,paso,n,NC_o
cuota,cuota,nfs,NC_a
alma,alma,n,NC_a
vecino,vecino,nms,NC_o
ejecutivo,ejecutivo,nms,NC_o
mínimo,mínimo,nms,NC_o
colonia,colonia,nfs,NC_a
drama,drama,nms,NC_a
abuelo,abuelo,nms,NC_o
silla,silla,nfs,NC_a
banca,banca,nfs,NC_a
aniversario,aniversario,nms,NC_o
misericordia,misericordia,nfs,NC_a
canto,canto,nms,NC_o
narcotráfico,narcotráfico,nms,NC_o
física,física,nfs,NC_a
bolsillo,bolsillo,nms,NC_o
circuito,circuito,nms,NC_o
dia,día,n,NC_a
muro,muro,nms,NC_o
medicamento,medicamento,nms,NC_o
da,da,n,NC_a
huevo,huevo,nms,NC_o
enfermo,enfermo,nms,NC_o
charla,charla,nfs,NC_a
consenso,consenso,nms,NC_o
nueva,nueva,nfs,NC_a
alto,alto,nms,NC_o
armonía,armonía,nfs,NC_a
salsa,salsa,nfs,NC_a
envío,envío,nms,NC_o
ingeniero,ingeniero,nms,NC_o
bicicleta,bicicleta,nfs,NC_a
escritorio,escritorio,nms,NC_o
autoestima,autoestima,nfs,NC_a
larga,larga,nfs,NC_a
aula,aula,nfs,NC_a
patio,patio,nms,NC_o
museo,museo,nms,NC_o
arco,arco,nms,NC_o
plástico,plástico,nms,NC_o
giro,giro,nms,NC_o
senado,senado,nms,NC_o
descenso,descenso,nms,NC_o
constancia,constancia,nfs,NC_a
viejo,viejo,nms,NC_o
