word,lemma_old,POS_old,IC_old,English,Animate,Innapropriate,Derivational,Potentially_Use,Other_POS,Span_Dic_Freq,Verb_Frequency,Adj_Frequency,Other_Freq,Regional_Use,Regional_dont_use,Use,log_freq,stim_list,lemma_new,POS_new,IC_new
diestro,diestro,nms    ,NC_O,"Right handed person, bullfighter",,,,1,Adj,,,1,,,,0,,1,diestro,nms,nc_o
diva,diva,nfs    ,NC_A,diva,,,,1,Adj,,,1,,,,0,,1,diva,nfs,nc_a
divo,divo,nms    ,NC_O,"star, celebrity ",,,,1,Adj,,,1,,,,0,,1,divo,nms,nc_o
doma,doma,nfs    ,NC_A,"horse taming, domestication",,,,1,Adj,,,1,,,,0,,1,doma,nfs,nc_a
domo,domo,nms    ,NC_O,Dome,,,,1,V,,1,,,,,0,,1,domo,nms,nc_o
dorada,dorada,nfs    ,NC_A,gilt-head bream,,,,1,Adj/V,,1,1,,,,0,,1,dorada,nfs,nc_a
dorado,dorado,nms    ,NC_O,"plating with gold, various species of fish",,,,1,Adj/V,,1,1,,,,0,,1,dorado,nms,nc_o
especia,especia,nfs    ,NC_A,spice,,,,1,V,,1,,,,,0,,1,especia,nfs,nc_a
especia,especia,nfs    ,NC_A,spice,,,,1,V,,1,,,,,0,,1,especia,n,nc_a
especio,espacio,n,NC_O,space,,,,1,V,,1,,,,,0,,1,,,
espina,espina,nms    ,NC_A,"thorn, fishbone",,,,1,V,,1,,,,,0,,1,espina,nms,nc_a
espina,espina,nms    ,NC_A,"thorn, fishbone",,,,1,V,,1,,,,,0,,1,espina,n,nc_a
espino,espino,nms    ,NC_O,"hawthorn, buckthorn",,,,1,V,,1,,,,,0,,1,espino,nms,nc_o
espino,espino,nms    ,NC_O,"hawthorn, buckthorn",,,,1,V,,1,,,,,0,,1,espino,n,nc_o
estada,estada,nfs    ,NC_A,"stay, sojourn",,,,1,V,,1,,,,,0,,1,estada,nfs,nc_a
estado,estado,nms    ,NC_O,"country, land, state",,,,1,V,,1,,,,,0,,1,estado,nms,nc_o
estera,estera,nfs    ,NC_A,doormat,,,,1,V,,1,,,,,0,,1,estera,nfs,nc_a
estero,estero,nms    ,NC_O,"river delta, lagoon",,,,1,V,,1,,,,,0,,1,estero,nms,nc_o
estrena,estrena,nfs    ,NC_A,"gift, present, premiere",,,,1,V,,1,,,,,0,,1,estrena,nfs,nc_a
estreno,estreno,nms    ,NC_O,premiere,,,,1,V,,1,,,,,0,,1,estreno,nms,nc_o
estreno,estreno,nms    ,NC_O,premiere,,,,1,V,,1,,,,,0,,1,estreno,n,nc_o
faja,faja,nfs    ,NC_A,"strip, belot, corset, sash, lane of highway",,,,1,V,,1,,,,,0,,1,faja,nfs,nc_a
fajo,fajo,nms    ,NC_O,"bundle, wad",,,,1,V,,1,,,,,0,,1,fajo,nms,nc_o
falla,falla,nfs    ,NC_A,"flaw, failure, outage",,,,1,V,,1,,,,,0,,1,falla,nfs,nc_a
fallo,fallo,n,NC_O,"mistake, failure, ruling",,,,1,V,,1,,,,,0,,1,fallo,nms,nc_o
fallo,fallo,n,NC_O,"mistake, failure, ruling",,,,1,V,,1,,,,,0,,1,fallo,n,nc_o
fila,fila,n,NC_A,"line, row, rank",,,,1,V,,1,,,,,0,,1,fila,nfs,nc_a
fila,fila,n,NC_A,"line, row, rank",,,,1,V,,1,,,,,0,,1,fila,n,nc_a
filo,filo,nms    ,NC_O,"edge, phylum",,,,1,V,,1,,,,,0,,1,filo,nms,nc_o
filo,filo,nms    ,NC_O,"edge, phylum",,,,1,V,,1,,,,,0,,1,filo,n,nc_o
flora,flora,nfs    ,NC_A,flora,,,,1,V,,1,,,,,0,,1,flora,nfs,nc_a
flora,flora,nfs    ,NC_A,flora,,,,1,V,,1,,,,,0,,1,flora,n,nc_a
floro,floro,n,NC_O,"(peru) lie, deceit",,,,1,V,,1,,,,,0,,1,floro,n,nc_o
fosa,fosa,nfs    ,NC_A,"cavity, grave, pit",,,,1,V,,1,,,,,0,,1,fosa,nfs,nc_a
fosa,fosa,nfs    ,NC_A,"cavity, grave, pit",,,,1,V,,1,,,,,0,,1,foso,n,nc_o
foso,foso,nms    ,NC_O,"ditch, moat, trap",,,,1,V,,1,,,,,0,,1,foso,nms,nc_o
foso,foso,nms    ,NC_O,"ditch, moat, trap",,,,1,V,,1,,,,,0,,1,foso,n,nc_o
fruta,fruta,nfs    ,NC_A,Fruit,,,,1,V,,1,,,,,0,,1,fruta,nfs,nc_a
fruta,fruta,nfs    ,NC_A,Fruit,,,,1,V,,1,,,,,0,,1,fruta,n,nc_a
fruto,fruto,n,NC_O,"any fruit from plant, any vegetable, profit from an activity",,,,1,V,,1,,,,,0,,1,fruto,nms,nc_o
fruto,fruto,n,NC_O,"any fruit from plant, any vegetable, profit from an activity",,,,1,V,,1,,,,,0,,1,fruto,n,nc_o
funda,funda,nfs    ,NC_A,"case, bag used to wrap and protect something",,,,1,V,,1,,,,,0,,1,funda,nfs,nc_a
funda,funda,nfs    ,NC_A,"case, bag used to wrap and protect something",,,,1,V,,1,,,,,0,,1,fundo,n,nc_o
fundo,fundo,nms    ,NC_O,"countryside, estate, farm",,,,1,V,,1,,,,,0,,1,fundo,nms,nc_o
fundo,fundo,nms    ,NC_O,"countryside, estate, farm",,,,1,V,,1,,,,,0,,1,fundo,n,nc_o
gala,gala,nfs    ,NC_A,gala,,,,1,Adj,,,1,,,,0,,1,gala,nfs,nc_a
galo,galo,nms    ,NC_O,Gaulish Language,,,,1,Adj,,,1,,,,0,,1,galo,nms,nc_o
ganada,ganado,n,NC_O,"(AG) profit, gain, eranings",,,,1,Adj/V,,1,1,,,,0,,1,ganado,n,nc_o
ganada,ganado,n,NC_O,"(AG) profit, gain, eranings",,,,1,Adj/V,,1,1,,,,0,,1,ganada,nfs,nc_a
ganado,ganado,n,NC_O,"livestock, cattle, swarm",,,,1,Adj,,,1,,,102,0,,1,ganado,nms,nc_o
ganado,ganado,n,NC_O,"livestock, cattle, swarm",,,,1,Adj,,,1,,,102,0,,1,ganado,n,nc_o
gesta,gesta,nfs    ,NC_A,"feat, achievement, herioic deed",,,,1,V,,1,,,,,0,,1,gesta,nfs,nc_a
gesto,gesto,nms    ,NC_O,"gesture, expression",,,,1,V,,1,,,,,0,,1,gesto,nms,nc_o
gira,gira,nfs    ,NC_A,tour,,,,1,V,,1,,,,,0,,1,gira,nfs,nc_a
