word,wordID_set,lemma,POS,Inflection_Class,Meaning,Animacy,Innapropriate?,Derivational Morpheme?,Potential,
estra,{221475},estra,n,NC_A,?,,,,,
estrada,{166022},estrada,nfs    ,NC_A,road,,,,1,
estrado,{41256},estrado,nms    ,NC_O,"platform, court",,,,1,
estrena,{122094},estrena,nfs    ,NC_A,"gift, present, premiere",,,,1,V
estreno,"{49144, 5994, 123198, 80015}",estreno,nms    ,NC_O,premiere,,,,1,V
estro,{134916},estro,nms    ,NC_O,"gadfly, inspiration",,,,,
eurodiputada,{250948},eurodiputada,nfs    ,NC_A,member of EU parliament,1,,,,
eurodiputado,{75385},eurodiputado,nms    ,NC_O,member of EU parliament,1,,,,
eva,"{87960, 66923, 64206}",eva,np,NC_A,?,,,,,
evo,{84615},evo,nms    ,NC_O,eternity,,,,,
ex-novia,{130377},ex-novia,n,NC_A,ex-gf,1,,,,
ex-novio,{131185},ex-novio,n,NC_O,ex-bf,1,,,,
exempleada,{330032},exempleada,n,NC_A,former employee,1,,,,
exempleado,{152600},exempleado,n,NC_O,former employee,1,,,,
exesposa,{130978},exesposa,n,NC_A,ex-wife,1,,,,
exesposo,{186511},exesposo,n,NC_O,ex-husband,1,,,,
exita,{219973},éxito,n,NC_O,?,,,,,
exito,"{176041, 169327}",éxito,n,NC_O,success,,,,,
exministra,{121465},exministra,n,NC_A,ex-minister,1,,,,
exministro,{1210357},exministro,n,NC_O,ex-minister,1,,,,
experta,{14045},experta,n,NC_A,expert,1,,,,
experticia,{67661},experticia,nfs    ,NC_A,expertise (VZ),,,,,
experticio,{440289},experticio,n,NC_O,?,,,,,
experto,{42126},experto,nms    ,NC_O,expert,1,,,,
exsecretaria,{143410},exsecretaria,n,NC_A,ex-secretary,1,,,,
exsecretario,{70458},exsecretario,n,NC_O,ex-secretary,1,,,,
extranjera,{38263},extranjero,n,NC_O,Foreigner,1,,,,
extranjero,{80315},extranjero,nms    ,NC_O,Foreigner,1,,,,
faja,{182757},faja,nfs    ,NC_A,"strip, belot, corset, sash, lane of highway",,,,1,V
fajo,{116172},fajo,nms    ,NC_O,"bundle, wad",,,,1,V
falla,{95969},falla,nfs    ,NC_A,"flaw, failure, outage",,,,1,V
fallo,"{102720, 40609, 167506}",fallo,n,NC_O,"mistake, failure, ruling",,,,1,V
fanatica,{193642},fanática,n,NC_A,fanatic,1,,,,
fanatico,{65834},fanático,n,NC_O,fanatic,1,,,,
fasta,{134701},fasto,n,NC_O,Adj,,,,,
fastidia,{160522},fastidio,n,NC_O,V,,,,,
fastidio,"{39813, 95279}",fastidio,nms    ,NC_O,annoyance,,,,,
fasto,{250969},fasto,nms    ,NC_O,pageantry,,,,,
fauna,{77982},fauna,nfs    ,NC_A,fauna,,,,1,
fauno,{119663},fauno,nms    ,NC_O,faun,1,,,1,
favorita,"{23454, 370335}",favorita,n,NC_A,favorite,,,,,
favorito,"{179064, 11909}",favorito,nms    ,NC_O,favorite,,,,,
fernanda,{370346},fernanda,n,NC_A,?,,,,,
fernando,{700082},fernando,n,NC_O,?,,,,,
feta,"{1671058, 123388}",feta,nfs    ,NC_A,feta cheese,,,,1,
feto,{10486},feto,nms    ,NC_O,"fetus, hideous person (SP)",,,,1,
fila,"{83288, 147310}",fila,n,NC_A,"line, row, rank",,,,1,V
filo,"{184573, 14286}",filo,nms    ,NC_O,"edge, phylum",,,,1,V
filósofa,{54826},filósofo,n,NC_O,Philosopher,1,,,,
filósofo,"{160523, 47079, 45711}",filósofo,nms    ,NC_O,Philosopher,1,,,,
fisica,{52313},física,n,NC_A,physicist,1,,,,
fisico,{51502},físico,n,NC_O,physicist,1,,,,
flora,"{141744, 52574, 10902}",flora,nfs    ,NC_A,flora,,,,1,V
floro,{143179},floro,n,NC_O,"(peru) lie, deceit",,,,1,V
fonda,{76526},fonda,nfs    ,NC_A,"small restaurant, boarding house, stall/canteen",,,,1,
fondo,"{13089, 59077}",fondo,nms    ,NC_O,"bottom, back, fund, ground",,,,1,
fora,{735320},fora,n,NC_A,?,,,,,
foro,"{735347, 12007}",foro,nms    ,NC_O,forum,,,,,
fosa,"{630136, 20876, 182287}",fosa,nfs    ,NC_A,"cavity, grave, pit",,,,1,V
foso,{48227},foso,nms    ,NC_O,"ditch, moat, trap",,,,1,V
fregada,{179076},fregada,nfs    ,NC_A,Adj,,,,,
fregado,{162196},fregado,nms    ,NC_O,"mop, trouble, argument",,,,,
fria,{100073},fria,n,NC_A,?,,,,,
frio,{20356},frio,n,NC_O,?,,,,,
