word,lemma,POS,IC,English,Animate,Innapropriate,Derivational,Potentially_Use,Other_POS,Span_Dic_Freq,Verb_Frequency,Adj_Frequency,Other_Freq,Regional_Use,Regional_dont_use,Use,log_freq,stim_list
gala,gala,nfs    ,NC_A,gala,,,,1,Adj,,,1,,,,0,,1
galo,galo,nms    ,NC_O,Gaulish Language,,,,1,Adj,,,1,,,,0,,1
ganada,ganado,n,NC_O,"(AG) profit, gain, eranings",,,,1,Adj/V,,1,1,,,,0,,1
ganado,ganado,n,NC_O,"livestock, cattle, swarm",,,,1,Adj,,,1,,,102,0,,1
gesta,gesta,nfs    ,NC_A,"feat, achievement, herioic deed",,,,1,V,,1,,,,,0,,1
gesto,gesto,nms    ,NC_O,"gesture, expression",,,,1,V,,1,,,,,0,,1
gira,gira,nfs    ,NC_A,tour,,,,1,V,,1,,,,,0,,1
giro,giro,nms    ,NC_O,"turn, spin, tour",,,,1,V,,1,,,,,0,,1
grada,grada,nfs    ,NC_A,"staircase step, sieve, ",,,,1,V,,1,,,,,0,,1
grado,grado,nms    ,NC_O,"degree, grade, level, step",,,,1,V,,1,,,,,0,,1
gramática,gramática,nfs    ,NC_A,grammar,,,,1,Adj,,,1,,,,0,,1
gramático,gramático,nms    ,NC_O,grammarian,,,,1,Adj,,,1,,,,0,,1
grana,grana,nfs    ,NC_A,"seeding (planting of seeds)< cochineal, burgundy",,,,1,V,,1,,,,,0,,1
granizada,granizada,nfs    ,NC_A,hailstorm,,,,1,V,,1,,,,,0,,1
granizado,granizado,nms    ,NC_O,slushie,,,,1,V,,1,,,,,0,,1
grano,grano,nms    ,NC_O,grain,,,,1,V,,1,,,,,0,,1
guisa,guisa,nfs    ,NC_A,"manner, guise, way, habbit",,,,1,V,,1,,,,,0,,1
guiso,guiso,nms    ,NC_O,stew,,,,1,V,,1,,,,,0,,1
helada,helada,nfs    ,NC_A,"frost, freezing, (SAL) handcuffs",,,,1,Adj/V,,1,1,,,,0,,1
helado,helado,nms    ,NC_O,icecream,,,,1,Adj/V,,1,1,,,,0,,1
huma,huma,n,NC_A,(chile) tamale,,,,1,V,,1,,,,,0,,1
humo,humo,nms    ,NC_O,"smoke, steam, fume",,,,1,V,,1,,,,,0,,1
leña,leña,nfs    ,NC_A,"firewood, kindling",,,,1,V,,1,,,,,0,,1
leño,leño,nms    ,NC_O,"log, piece of wood, timber",,,,1,V,,1,,,,,0,,1
libra,libra,nfs    ,NC_A,Libra (zodiac),,,,1,v,,1,,,,,0,,1
libro,libro,nms    ,NC_O,book,,,,1,v,,1,,,,,0,,1
lima,lima,nms    ,NC_A,"lime, file (tool)",,,,1,V,,1,,,,,0,,1
limo,limo,nms    ,NC_O,"mud, slime",,,,1,V,,1,,,,,0,,1
llana,llana,nfs    ,NC_A,trowel,,,,1,Adj,,,1,,,,0,,1
llano,llano,nms    ,NC_O,plain (grass),,,,1,Adj,,,1,,,,0,,1
manda,manda,nfs    ,NC_A,vow,,,,1,V,,1,,,,,0,,1
mando,mando,nms    ,NC_O,"command, remote control (SP)",,,,1,V,,1,,,,,0,,1
manga,manga,n,NC_A,"sleeve, (tennis) set, manga",,,,1,V,,1,,,,,0,,1
mango,mango,nms    ,NC_O,"handle, mango (fruit and tree)",,,,1,V,,1,,,,,0,,1
marca,marca,nfs    ,NC_A,"brand (of clothes)< mark, pring, record",,,,1,V,,1,,,,,0,,1
marco,marco,nms    ,NC_O,"frame, fraemwork, ",,,,1,V,,1,,,,,0,,1
marina,marina,nfs    ,NC_A,navy ,,,,1,Adj/V,,1,1,,,,0,,1
marino,marino,nms    ,NC_O,"sailor, seaman",1,,,1,Adj/V,,1,1,,,,0,,1
maya,maya,nms    ,NC_A,"maya person, language",1,,,1,Adj,,,1,,,,0,,1
