word,lemma,POS,IC
rango,rango,nms,nc_o
alianza,alianza,nfs,nc_a
abuela,abuela,n,nc_a
ahorro,ahorro,nms,nc_o
logro,logro,nms,nc_o
convocatoria,convocatoria,nfs,nc_a
gira,gira,nfs,nc_a
pista,pista,nfs,nc_a
renta,renta,nfs,nc_a
hierro,hierro,nms,nc_o
habla,habla,nfs,nc_a
gesto,gesto,nms,nc_o
locura,locura,nfs,nc_a
gato,gato,nms,nc_o
sustancia,sustancia,nfs,nc_a
testigo,testigo,nms,nc_o
negro,negro,nms,nc_o
calendario,calendario,nms,nc_o
gama,gama,nfs,nc_a
tejido,tejido,nms,nc_o
media,media,nms,nc_a
seno,seno,nms,nc_o
huelga,huelga,nfs,nc_a
fortuna,fortuna,nfs,nc_a
retorno,retorno,nms,nc_o
ira,ira,nfs,nc_a
barra,barra,nfs,nc_a
boda,boda,nfs,nc_a
loco,loco,nms,nc_o
miseria,miseria,nfs,nc_a
mira,mira,nfs,nc_a
metro,metro,nms,nc_o
excusa,excusa,nfs,nc_a
saga,saga,nfs,nc_a
guitarra,guitarra,nms,nc_a
salto,salto,nms,nc_o
pedido,pedido,nms,nc_o
tío,tío,nms,nc_o
convenio,convenio,nms,nc_o
milagro,milagro,nms,nc_o
puesta,puesta,nfs,nc_a
ceremonia,ceremonia,nfs,nc_a
mito,mito,nms,nc_o
diablo,diablo,nms,nc_o
propietario,propietario,nms,nc_o
leyenda,leyenda,nfs,nc_a
empleado,empleado,nms,nc_o
campeonato,campeonato,nms,nc_o
socio,socio,nms,nc_o
paso,paso,n,nc_o
cuota,cuota,nfs,nc_a
alma,alma,n,nc_a
colectivo,colectivo,nms,nc_o
vecino,vecino,nms,nc_o
ejecutivo,ejecutivo,nms,nc_o
mínimo,mínimo,nms,nc_o
colonia,colonia,nfs,nc_a
drama,drama,nms,nc_a
abuelo,abuelo,nms,nc_o
silla,silla,nfs,nc_a
banca,banca,nfs,nc_a
aniversario,aniversario,nms,nc_o
bloqueo,bloqueo,nms,nc_o
sello,sello,nms,nc_o
cola,cola,nms,nc_a
humo,humo,nms,nc_o
misericordia,misericordia,nfs,nc_a
canto,canto,nms,nc_o
narcotráfico,narcotráfico,nms,nc_o
física,física,nfs,nc_a
bolsillo,bolsillo,nms,nc_o
circuito,circuito,nms,nc_o
dia,día,n,nc_a
muro,muro,nms,nc_o
medicamento,medicamento,nms,nc_o
cura,cura,nms,nc_a
da,da,n,nc_a
huevo,huevo,nms,nc_o
enfermo,enfermo,nms,nc_o
gana,gana,nfs,nc_a
charla,charla,nfs,nc_a
consenso,consenso,nms,nc_o
nueva,nueva,nfs,nc_a
alto,alto,nms,nc_o
armonía,armonía,nfs,nc_a
